service_id,farm_size_acres,crop_type,chemical_used,water_saved_liters,cost_inr
43,2.246184726735068,Rice,Urea Spray,767.7081413211836,7763.566245138189
44,49.176477077657395,Cotton,Urea Spray,840.0971967761645,8122.265866496431
45,48.02305559032773,Soybean,Urea Spray,1134.588391317792,2306.473375251454
46,28.65454458354939,Soybean,Urea Spray,1380.0735258826994,9398.471603948923
47,49.66012211915068,Soybean,Pesticide X,824.6902608459345,5389.828863649555
48,38.75680519362517,Rice,Fungicide Y,1073.7713367084466,6659.94662710918
49,26.351628989219073,Rice,Pesticide X,1375.9150909906461,6779.674504313166
50,20.077222290017897,Cotton,Urea Spray,1075.1529558524735,5544.596130330707
51,30.050297265182387,Soybean,Fungicide Y,714.7541320769483,2278.1983970903834
52,26.274302981608482,Soybean,Fungicide Y,1237.4916883073354,7765.780221021692
53,49.696323808358606,Cotton,Urea Spray,985.9912939307081,6236.072516111431
54,25.03255548445261,Rice,Urea Spray,1796.2825438322534,2068.1255373164513
55,41.9601332231707,Rice,Pesticide X,1663.4373621407515,7302.897717702478
56,40.86756733377383,Wheat,Fungicide Y,785.4126383505342,7324.869347258415
57,4.498907401783715,Wheat,Fungicide Y,728.9536869962666,5936.378014863236
58,5.263331598220928,Soybean,Urea Spray,1021.51500997175,1814.939292624112
59,33.33069562526841,Rice,Urea Spray,1118.2617506653887,4173.796280230563
60,13.696292330029765,Soybean,Fungicide Y,1898.027226987092,1458.3169686403087
61,33.218824700158216,Rice,Fungicide Y,952.4311056279995,5298.364169437522
62,8.08666882136297,Wheat,Urea Spray,1801.3765294527373,9158.02418704639
63,20.456343133084392,Cotton,Urea Spray,1257.9639190305736,1020.2768435163135
64,6.021043049953615,Rice,Urea Spray,1828.4355883360845,3399.7478773817097
65,14.822560763966328,Wheat,Pesticide X,1552.9306659928798,8198.731910332765
66,5.326630915275892,Wheat,Pesticide X,1562.5834521640534,1088.7475043944587
67,48.558354104686266,Rice,Urea Spray,1278.1962312442217,1091.5609334140604
68,20.357863291101477,Soybean,Pesticide X,1760.4560623672096,6497.367274849592
69,45.158249627011116,Rice,Fungicide Y,881.6372078625434,8102.79781118726
70,48.58741668241357,Wheat,Fungicide Y,1861.0269072753035,7988.548757200036
71,45.56857034625102,Rice,Urea Spray,1455.1637825539508,8016.202186743582
72,23.29302355394423,Cotton,Fungicide Y,1158.0633522387886,4249.057103358991
73,39.1659675815208,Soybean,Fungicide Y,1973.2848551233355,8944.51729847013
74,8.53127470399627,Rice,Fungicide Y,1793.0211603674602,1115.520412570632
75,5.6467980771412325,Wheat,Fungicide Y,1658.0315192475493,3809.698630950704
76,43.96817192370567,Wheat,Fungicide Y,910.8537066034157,4034.6892535185093
77,2.524887139459171,Soybean,Pesticide X,1960.6110506485966,2490.14013237587
78,48.644040193961324,Rice,Pesticide X,1614.4812542389338,4026.033756928893
79,33.93456012314153,Wheat,Urea Spray,1407.8259260435623,6272.9571704689815
80,21.561038048629833,Soybean,Fungicide Y,1882.6988435199994,5682.513814276443
81,7.927390992671706,Cotton,Pesticide X,743.2725228936938,3874.8462272608585
82,36.4383263967809,Soybean,Pesticide X,708.5240791464151,7743.9476231420995
83,28.592475965764287,Rice,Pesticide X,1345.5701215861402,7433.115205940265
84,35.845223364881896,Rice,Fungicide Y,585.070394949666,3526.268293723964
85,21.47818807581713,Wheat,Pesticide X,1495.9802928005236,3909.0555350012573
86,4.246744069984673,Cotton,Urea Spray,861.1117071734297,3587.6817876891487
87,16.43363782698562,Rice,Urea Spray,678.539866914607,2159.6604986009397
88,16.43601690751985,Wheat,Fungicide Y,1114.243774687217,7775.034786647693
89,1.4252787585453823,Soybean,Urea Spray,1198.9244395483456,1416.4885946372415
90,1.4694697398472518,Soybean,Pesticide X,755.7272958441066,2355.2244469308052
91,17.20715607282172,Rice,Fungicide Y,562.3029064341982,1947.740659730627
92,36.65354585516141,Cotton,Urea Spray,1121.0833868582204,8428.05077971901
93,31.57814279042687,Wheat,Fungicide Y,1639.2895039826449,1396.076638480759
94,12.711864688618943,Rice,Pesticide X,1811.2996559015323,6981.64560924903
95,30.535369956436387,Wheat,Urea Spray,646.3224411936495,1400.2713856972314
96,32.72150218241509,Soybean,Pesticide X,1287.0131945168828,8077.990635296194
97,26.60592621842495,Wheat,Urea Spray,895.1044832095772,9214.426777543737
98,26.5463447841543,Soybean,Fungicide Y,1061.9508044042996,5381.588492511053
99,19.11764578006932,Cotton,Urea Spray,1900.1627446398595,8240.876209110662
100,7.046323823908601,Cotton,Urea Spray,1028.1121594184704,7357.694795652055
