date,state,district,market,commodity,min_price,max_price,modal_price
2023-07-31,Madhya Pradesh,Jabalpur,Indore,Soybean,2513,2245,3141
2023-08-01,Madhya Pradesh,Bhopal,Sagar,Gram,1580,3612,2002
2023-08-02,Madhya Pradesh,Gwalior,Bhopal,Gram,2114,2476,2030
2023-08-03,Madhya Pradesh,Sagar,Bhopal,Paddy(Dhan),1982,3282,2703
2023-08-04,Madhya Pradesh,Indore,Ujjain,Gram,2091,3116,3386
2023-08-05,Madhya Pradesh,Bhopal,Sagar,Soybean,2930,3826,2880
2023-08-06,Madhya Pradesh,Bhopal,Jabalpur,Wheat,2626,2782,2443
2023-08-07,Madhya Pradesh,Indore,Gwalior,Soybean,2763,2532,3243
2023-08-08,Madhya Pradesh,Jabalpur,Sagar,Gram,2788,3597,2714
2023-08-09,Madhya Pradesh,Bhopal,Gwalior,Soybean,1532,3362,2079
2023-08-10,Madhya Pradesh,Ujjain,Gwalior,Maize,1534,3947,2608
2023-08-11,Madhya Pradesh,Bhopal,Jabalpur,Maize,2772,3283,3128
2023-08-12,Madhya Pradesh,Gwalior,Jabalpur,Gram,2499,2236,2265
2023-08-13,Madhya Pradesh,Indore,Jabalpur,Gram,2573,3164,2536
2023-08-14,Madhya Pradesh,Gwalior,Ujjain,Wheat,1779,2974,2997
2023-08-15,Madhya Pradesh,Jabalpur,Bhopal,Soybean,1651,3970,2603
2023-08-16,Madhya Pradesh,Sagar,Indore,Wheat,2200,3967,2065
2023-08-17,Madhya Pradesh,Ujjain,Jabalpur,Gram,2234,2678,2046
2023-08-18,Madhya Pradesh,Indore,Bhopal,Gram,2518,3503,1877
2023-08-19,Madhya Pradesh,Bhopal,Jabalpur,Paddy(Dhan),2753,2578,3470
2023-08-20,Madhya Pradesh,Ujjain,Indore,Wheat,2164,3373,3475
2023-08-21,Madhya Pradesh,Bhopal,Sagar,Gram,2422,3593,2653
2023-08-22,Madhya Pradesh,Jabalpur,Jabalpur,Maize,2811,3747,2052
2023-08-23,Madhya Pradesh,Sagar,Bhopal,Paddy(Dhan),2918,2129,2274
2023-08-24,Madhya Pradesh,Indore,Ujjain,Soybean,1952,3560,1975
2023-08-25,Madhya Pradesh,Jabalpur,Sagar,Paddy(Dhan),2119,2010,3244
2023-08-26,Madhya Pradesh,Jabalpur,Sagar,Soybean,2556,2256,2770
2023-08-27,Madhya Pradesh,Sagar,Sagar,Maize,2886,2815,3395
2023-08-28,Madhya Pradesh,Jabalpur,Indore,Soybean,2634,2368,3284
2023-08-29,Madhya Pradesh,Jabalpur,Bhopal,Wheat,2644,2943,2053
2023-08-30,Madhya Pradesh,Bhopal,Gwalior,Soybean,1515,3417,3343
2023-08-31,Madhya Pradesh,Gwalior,Gwalior,Soybean,2238,3616,2702
2023-09-01,Madhya Pradesh,Bhopal,Gwalior,Paddy(Dhan),2214,3821,1906
2023-09-02,Madhya Pradesh,Sagar,Ujjain,Maize,2213,3442,2994
2023-09-03,Madhya Pradesh,Ujjain,Jabalpur,Soybean,1597,2881,1857
2023-09-04,Madhya Pradesh,Sagar,Jabalpur,Wheat,1615,2018,3160
2023-09-05,Madhya Pradesh,Sagar,Jabalpur,Paddy(Dhan),2464,2109,3165
2023-09-06,Madhya Pradesh,Sagar,Ujjain,Maize,2994,3460,2741
2023-09-07,Madhya Pradesh,Sagar,Gwalior,Maize,2962,2504,3113
2023-09-08,Madhya Pradesh,Jabalpur,Sagar,Gram,2804,3057,1883
2023-09-09,Madhya Pradesh,Sagar,Jabalpur,Wheat,1848,3311,2940
2023-09-10,Madhya Pradesh,Ujjain,Sagar,Paddy(Dhan),1731,3867,2511
2023-09-11,Madhya Pradesh,Sagar,Sagar,Paddy(Dhan),2634,3002,3357
2023-09-12,Madhya Pradesh,Bhopal,Ujjain,Wheat,2875,2254,3042
2023-09-13,Madhya Pradesh,Jabalpur,Ujjain,Maize,2535,2637,2700
2023-09-14,Madhya Pradesh,Bhopal,Bhopal,Soybean,2483,3744,2925
2023-09-15,Madhya Pradesh,Jabalpur,Jabalpur,Wheat,2138,2133,2456
2023-09-16,Madhya Pradesh,Bhopal,Gwalior,Paddy(Dhan),1784,2498,2255
2023-09-17,Madhya Pradesh,Indore,Indore,Wheat,2135,2396,2458
2023-09-18,Madhya Pradesh,Gwalior,Ujjain,Maize,2044,3510,2572
2023-09-19,Madhya Pradesh,Gwalior,Sagar,Gram,1891,3621,2590
2023-09-20,Madhya Pradesh,Jabalpur,Bhopal,Gram,2693,3610,2650
2023-09-21,Madhya Pradesh,Indore,Indore,Soybean,1576,3983,2325
2023-09-22,Madhya Pradesh,Ujjain,Ujjain,Soybean,1796,2646,2065
2023-09-23,Madhya Pradesh,Indore,Bhopal,Maize,1829,3836,3110
2023-09-24,Madhya Pradesh,Jabalpur,Sagar,Soybean,2586,2684,1940
2023-09-25,Madhya Pradesh,Indore,Jabalpur,Gram,1769,3236,2694
2023-09-26,Madhya Pradesh,Ujjain,Bhopal,Maize,1715,3856,2205
2023-09-27,Madhya Pradesh,Jabalpur,Ujjain,Maize,2713,3373,2092
2023-09-28,Madhya Pradesh,Gwalior,Jabalpur,Maize,2598,2018,2854
2023-09-29,Madhya Pradesh,Sagar,Sagar,Wheat,2009,3010,2994
2023-09-30,Madhya Pradesh,Indore,Gwalior,Soybean,2078,2118,2154
2023-10-01,Madhya Pradesh,Gwalior,Bhopal,Paddy(Dhan),2616,3838,2004
2023-10-02,Madhya Pradesh,Gwalior,Indore,Gram,2576,2301,3301
2023-10-03,Madhya Pradesh,Bhopal,Sagar,Soybean,1995,3308,2793
2023-10-04,Madhya Pradesh,Ujjain,Jabalpur,Gram,2447,2226,2090
2023-10-05,Madhya Pradesh,Sagar,Sagar,Soybean,1593,3530,1910
2023-10-06,Madhya Pradesh,Indore,Jabalpur,Paddy(Dhan),2124,3524,2891
2023-10-07,Madhya Pradesh,Gwalior,Sagar,Gram,1728,3235,2172
2023-10-08,Madhya Pradesh,Gwalior,Gwalior,Paddy(Dhan),1749,2355,1995
2023-10-09,Madhya Pradesh,Ujjain,Bhopal,Gram,2914,2700,1925
2023-10-10,Madhya Pradesh,Sagar,Indore,Wheat,2220,2486,2061
2023-10-11,Madhya Pradesh,Sagar,Gwalior,Wheat,2479,3344,2686
2023-10-12,Madhya Pradesh,Gwalior,Bhopal,Gram,1681,3686,2723
2023-10-13,Madhya Pradesh,Gwalior,Indore,Gram,1766,2222,1954
2023-10-14,Madhya Pradesh,Gwalior,Sagar,Paddy(Dhan),2503,3663,3404
2023-10-15,Madhya Pradesh,Gwalior,Indore,Maize,1780,3783,1907
2023-10-16,Madhya Pradesh,Bhopal,Ujjain,Gram,2461,3586,3246
2023-10-17,Madhya Pradesh,Bhopal,Indore,Soybean,2166,3214,1834
2023-10-18,Madhya Pradesh,Sagar,Bhopal,Soybean,2606,2994,2867
2023-10-19,Madhya Pradesh,Jabalpur,Gwalior,Soybean,2709,2499,2454
2023-10-20,Madhya Pradesh,Indore,Gwalior,Wheat,2030,3518,2522
2023-10-21,Madhya Pradesh,Ujjain,Ujjain,Paddy(Dhan),2871,3260,2797
2023-10-22,Madhya Pradesh,Jabalpur,Bhopal,Wheat,1922,3045,2215
2023-10-23,Madhya Pradesh,Bhopal,Indore,Soybean,2480,3645,2799
2023-10-24,Madhya Pradesh,Bhopal,Ujjain,Gram,1953,3350,2084
2023-10-25,Madhya Pradesh,Bhopal,Sagar,Soybean,1766,3568,3270
2023-10-26,Madhya Pradesh,Jabalpur,Jabalpur,Gram,2006,3150,2317
2023-10-27,Madhya Pradesh,Bhopal,Sagar,Paddy(Dhan),2665,2364,1826
2023-10-28,Madhya Pradesh,Jabalpur,Bhopal,Maize,1815,3891,2026
2023-10-29,Madhya Pradesh,Bhopal,Ujjain,Gram,2263,3067,3248
2023-10-30,Madhya Pradesh,Gwalior,Gwalior,Wheat,2755,2518,3391
2023-10-31,Madhya Pradesh,Gwalior,Ujjain,Soybean,2820,3151,3191
2023-11-01,Madhya Pradesh,Indore,Jabalpur,Soybean,2397,3626,3133
2023-11-02,Madhya Pradesh,Bhopal,Bhopal,Soybean,2452,3153,2647
2023-11-03,Madhya Pradesh,Indore,Ujjain,Gram,2374,2528,2928
2023-11-04,Madhya Pradesh,Jabalpur,Sagar,Paddy(Dhan),2415,3344,1817
2023-11-05,Madhya Pradesh,Indore,Indore,Gram,1521,2185,3028
2023-11-06,Madhya Pradesh,Bhopal,Sagar,Wheat,1883,3645,1842
2023-11-07,Madhya Pradesh,Jabalpur,Bhopal,Soybean,2649,2797,1888
2023-11-08,Madhya Pradesh,Jabalpur,Ujjain,Gram,1602,2981,2385
2023-11-09,Madhya Pradesh,Gwalior,Sagar,Soybean,2399,2347,1956
2023-11-10,Madhya Pradesh,Jabalpur,Ujjain,Wheat,2232,3504,3089
2023-11-11,Madhya Pradesh,Jabalpur,Sagar,Maize,1609,2921,1933
2023-11-12,Madhya Pradesh,Indore,Bhopal,Maize,2995,3698,2263
2023-11-13,Madhya Pradesh,Sagar,Gwalior,Maize,2588,3982,3424
2023-11-14,Madhya Pradesh,Jabalpur,Sagar,Soybean,2995,3610,2955
2023-11-15,Madhya Pradesh,Ujjain,Indore,Gram,2169,3734,2540
2023-11-16,Madhya Pradesh,Sagar,Sagar,Soybean,2599,3947,2857
2023-11-17,Madhya Pradesh,Gwalior,Bhopal,Paddy(Dhan),2542,2920,1882
2023-11-18,Madhya Pradesh,Gwalior,Sagar,Gram,1883,2956,2728
2023-11-19,Madhya Pradesh,Jabalpur,Indore,Wheat,1689,2360,2955
2023-11-20,Madhya Pradesh,Indore,Indore,Maize,2261,3310,3251
2023-11-21,Madhya Pradesh,Sagar,Bhopal,Gram,1859,2181,2665
2023-11-22,Madhya Pradesh,Gwalior,Ujjain,Gram,2374,3474,2003
2023-11-23,Madhya Pradesh,Gwalior,Sagar,Maize,2385,2096,3159
2023-11-24,Madhya Pradesh,Ujjain,Gwalior,Wheat,2975,2562,2761
2023-11-25,Madhya Pradesh,Jabalpur,Indore,Soybean,1578,2313,2296
2023-11-26,Madhya Pradesh,Sagar,Indore,Soybean,2095,3569,2241
2023-11-27,Madhya Pradesh,Gwalior,Sagar,Gram,2695,2954,2627
2023-11-28,Madhya Pradesh,Gwalior,Ujjain,Maize,2735,2020,3081
2023-11-29,Madhya Pradesh,Gwalior,Sagar,Paddy(Dhan),2385,3719,3115
2023-11-30,Madhya Pradesh,Gwalior,Bhopal,Wheat,2514,2804,2948
2023-12-01,Madhya Pradesh,Indore,Gwalior,Soybean,2968,2575,3486
2023-12-02,Madhya Pradesh,Bhopal,Sagar,Wheat,1648,3520,2670
2023-12-03,Madhya Pradesh,Ujjain,Indore,Wheat,1509,2402,2998
2023-12-04,Madhya Pradesh,Indore,Indore,Wheat,2291,3147,3315
2023-12-05,Madhya Pradesh,Ujjain,Bhopal,Maize,2578,2612,2668
2023-12-06,Madhya Pradesh,Gwalior,Ujjain,Maize,2371,3142,1879
2023-12-07,Madhya Pradesh,Ujjain,Sagar,Maize,1679,3876,3442
2023-12-08,Madhya Pradesh,Jabalpur,Jabalpur,Gram,2243,3613,2611
2023-12-09,Madhya Pradesh,Jabalpur,Ujjain,Maize,1880,2969,2714
2023-12-10,Madhya Pradesh,Bhopal,Indore,Gram,2945,2692,3128
2023-12-11,Madhya Pradesh,Bhopal,Sagar,Soybean,1950,3734,3333
2023-12-12,Madhya Pradesh,Ujjain,Indore,Soybean,2616,3500,3167
2023-12-13,Madhya Pradesh,Indore,Gwalior,Soybean,2936,2958,2369
2023-12-14,Madhya Pradesh,Indore,Ujjain,Soybean,1893,2871,2914
2023-12-15,Madhya Pradesh,Gwalior,Jabalpur,Soybean,2464,3725,3470
2023-12-16,Madhya Pradesh,Indore,Gwalior,Maize,2854,2839,2661
2023-12-17,Madhya Pradesh,Bhopal,Jabalpur,Paddy(Dhan),1932,2102,1968
2023-12-18,Madhya Pradesh,Indore,Gwalior,Maize,2453,2332,3157
2023-12-19,Madhya Pradesh,Gwalior,Ujjain,Paddy(Dhan),2686,3901,3457
2023-12-20,Madhya Pradesh,Jabalpur,Indore,Maize,2445,3810,2811
2023-12-21,Madhya Pradesh,Indore,Jabalpur,Soybean,2563,3482,2035
2023-12-22,Madhya Pradesh,Indore,Ujjain,Wheat,2265,3153,2198
2023-12-23,Madhya Pradesh,Bhopal,Jabalpur,Paddy(Dhan),2407,2752,2387
2023-12-24,Madhya Pradesh,Ujjain,Ujjain,Wheat,1584,2133,2620
2023-12-25,Madhya Pradesh,Jabalpur,Gwalior,Soybean,2283,3180,2812
2023-12-26,Madhya Pradesh,Ujjain,Ujjain,Paddy(Dhan),2315,2424,2276
2023-12-27,Madhya Pradesh,Gwalior,Gwalior,Wheat,2614,3458,3358
2023-12-28,Madhya Pradesh,Gwalior,Indore,Maize,2908,3412,2644
2023-12-29,Madhya Pradesh,Ujjain,Gwalior,Soybean,2716,2936,2384
2023-12-30,Madhya Pradesh,Bhopal,Bhopal,Maize,2776,3341,2911
2023-12-31,Madhya Pradesh,Sagar,Indore,Maize,2767,3693,2414
2024-01-01,Madhya Pradesh,Bhopal,Sagar,Soybean,2206,2504,2405
2024-01-02,Madhya Pradesh,Sagar,Sagar,Paddy(Dhan),1769,2870,2760
2024-01-03,Madhya Pradesh,Sagar,Ujjain,Gram,2340,2189,2577
2024-01-04,Madhya Pradesh,Bhopal,Ujjain,Gram,2542,2611,3076
2024-01-05,Madhya Pradesh,Sagar,Bhopal,Soybean,2563,3434,2157
2024-01-06,Madhya Pradesh,Sagar,Ujjain,Gram,2015,3969,2881
2024-01-07,Madhya Pradesh,Sagar,Indore,Wheat,2556,2051,3222
2024-01-08,Madhya Pradesh,Jabalpur,Indore,Paddy(Dhan),1949,3584,2320
2024-01-09,Madhya Pradesh,Gwalior,Gwalior,Maize,2184,3469,2324
2024-01-10,Madhya Pradesh,Sagar,Jabalpur,Maize,2124,2611,3240
2024-01-11,Madhya Pradesh,Gwalior,Ujjain,Soybean,2384,3467,2192
2024-01-12,Madhya Pradesh,Gwalior,Bhopal,Maize,1818,3405,3466
2024-01-13,Madhya Pradesh,Jabalpur,Sagar,Wheat,2647,3786,3045
2024-01-14,Madhya Pradesh,Gwalior,Indore,Wheat,2895,2373,3152
2024-01-15,Madhya Pradesh,Ujjain,Indore,Soybean,2874,3999,3195
2024-01-16,Madhya Pradesh,Indore,Indore,Maize,2846,3589,3334
2024-01-17,Madhya Pradesh,Jabalpur,Jabalpur,Gram,1987,2374,1952
2024-01-18,Madhya Pradesh,Indore,Jabalpur,Gram,1950,2388,2692
2024-01-19,Madhya Pradesh,Ujjain,Ujjain,Paddy(Dhan),1852,3672,2783
2024-01-20,Madhya Pradesh,Bhopal,Sagar,Soybean,2639,2673,2279
2024-01-21,Madhya Pradesh,Bhopal,Bhopal,Paddy(Dhan),2454,3889,2382
2024-01-22,Madhya Pradesh,Sagar,Jabalpur,Gram,2536,2803,2656
2024-01-23,Madhya Pradesh,Bhopal,Gwalior,Gram,1819,3502,1819
2024-01-24,Madhya Pradesh,Jabalpur,Jabalpur,Gram,2688,2403,2392
2024-01-25,Madhya Pradesh,Bhopal,Indore,Paddy(Dhan),1584,2592,2027
2024-01-26,Madhya Pradesh,Jabalpur,Bhopal,Soybean,1747,3491,3169
2024-01-27,Madhya Pradesh,Jabalpur,Ujjain,Wheat,2955,2731,1818
2024-01-28,Madhya Pradesh,Indore,Jabalpur,Wheat,2067,3620,2243
2024-01-29,Madhya Pradesh,Bhopal,Indore,Gram,2183,2504,2167
2024-01-30,Madhya Pradesh,Gwalior,Gwalior,Soybean,2143,2082,2698
2024-01-31,Madhya Pradesh,Bhopal,Gwalior,Soybean,1978,2318,3442
2024-02-01,Madhya Pradesh,Bhopal,Ujjain,Maize,2212,3090,2688
2024-02-02,Madhya Pradesh,Bhopal,Ujjain,Maize,1867,2413,2525
2024-02-03,Madhya Pradesh,Sagar,Jabalpur,Paddy(Dhan),1856,2452,1946
2024-02-04,Madhya Pradesh,Gwalior,Ujjain,Maize,1907,2745,3327
2024-02-05,Madhya Pradesh,Gwalior,Sagar,Paddy(Dhan),2868,2197,2229
2024-02-06,Madhya Pradesh,Jabalpur,Sagar,Wheat,1678,2258,2647
2024-02-07,Madhya Pradesh,Gwalior,Indore,Gram,2948,3712,3263
2024-02-08,Madhya Pradesh,Jabalpur,Indore,Soybean,2966,2297,1997
2024-02-09,Madhya Pradesh,Indore,Indore,Wheat,2829,3303,2796
2024-02-10,Madhya Pradesh,Jabalpur,Sagar,Wheat,1866,2299,3110
2024-02-11,Madhya Pradesh,Bhopal,Jabalpur,Paddy(Dhan),2559,2128,2364
2024-02-12,Madhya Pradesh,Ujjain,Jabalpur,Gram,1962,2497,2168
2024-02-13,Madhya Pradesh,Ujjain,Ujjain,Paddy(Dhan),2327,3906,3063
2024-02-14,Madhya Pradesh,Sagar,Jabalpur,Wheat,2669,2437,2601
2024-02-15,Madhya Pradesh,Bhopal,Indore,Soybean,1645,3715,3110
2024-02-16,Madhya Pradesh,Jabalpur,Bhopal,Maize,1879,3315,2499
2024-02-17,Madhya Pradesh,Bhopal,Indore,Paddy(Dhan),1667,2206,3218
2024-02-18,Madhya Pradesh,Sagar,Sagar,Wheat,2798,2293,2795
2024-02-19,Madhya Pradesh,Gwalior,Bhopal,Maize,1586,3963,2317
2024-02-20,Madhya Pradesh,Jabalpur,Ujjain,Maize,1653,3873,2574
2024-02-21,Madhya Pradesh,Bhopal,Gwalior,Wheat,1996,3710,2360
2024-02-22,Madhya Pradesh,Gwalior,Jabalpur,Gram,1814,2028,1859
2024-02-23,Madhya Pradesh,Sagar,Jabalpur,Wheat,2222,2178,2344
2024-02-24,Madhya Pradesh,Gwalior,Sagar,Soybean,2797,2040,2816
2024-02-25,Madhya Pradesh,Jabalpur,Indore,Maize,2263,3493,2102
2024-02-26,Madhya Pradesh,Sagar,Indore,Soybean,1761,3215,3067
2024-02-27,Madhya Pradesh,Sagar,Bhopal,Paddy(Dhan),1986,2343,3030
2024-02-28,Madhya Pradesh,Sagar,Jabalpur,Maize,1953,3772,3198
2024-02-29,Madhya Pradesh,Indore,Sagar,Gram,1942,2815,2082
2024-03-01,Madhya Pradesh,Sagar,Ujjain,Wheat,2785,3996,2277
2024-03-02,Madhya Pradesh,Indore,Indore,Paddy(Dhan),2042,2736,2845
2024-03-03,Madhya Pradesh,Gwalior,Jabalpur,Soybean,2628,2625,2358
2024-03-04,Madhya Pradesh,Indore,Gwalior,Paddy(Dhan),1849,2277,2148
2024-03-05,Madhya Pradesh,Gwalior,Sagar,Gram,2323,3378,3312
2024-03-06,Madhya Pradesh,Indore,Bhopal,Wheat,1937,2528,2469
2024-03-07,Madhya Pradesh,Gwalior,Indore,Paddy(Dhan),1668,2085,2057
2024-03-08,Madhya Pradesh,Gwalior,Indore,Soybean,2866,3924,2454
2024-03-09,Madhya Pradesh,Sagar,Ujjain,Paddy(Dhan),2753,2316,2870
2024-03-10,Madhya Pradesh,Sagar,Indore,Wheat,1522,3880,2850
2024-03-11,Madhya Pradesh,Gwalior,Sagar,Paddy(Dhan),2487,3925,2850
2024-03-12,Madhya Pradesh,Sagar,Jabalpur,Soybean,2175,2692,3220
2024-03-13,Madhya Pradesh,Gwalior,Jabalpur,Wheat,1780,3360,1944
2024-03-14,Madhya Pradesh,Sagar,Jabalpur,Gram,2221,2862,2386
2024-03-15,Madhya Pradesh,Ujjain,Gwalior,Gram,1752,3168,2321
2024-03-16,Madhya Pradesh,Indore,Gwalior,Maize,1903,2314,2944
2024-03-17,Madhya Pradesh,Gwalior,Indore,Paddy(Dhan),1632,2224,2600
2024-03-18,Madhya Pradesh,Bhopal,Gwalior,Soybean,2797,3446,3285
2024-03-19,Madhya Pradesh,Sagar,Gwalior,Paddy(Dhan),2117,3077,2181
2024-03-20,Madhya Pradesh,Sagar,Ujjain,Wheat,1731,3917,2575
2024-03-21,Madhya Pradesh,Jabalpur,Gwalior,Maize,2044,3967,2472
2024-03-22,Madhya Pradesh,Bhopal,Bhopal,Soybean,1578,3956,3241
2024-03-23,Madhya Pradesh,Bhopal,Bhopal,Paddy(Dhan),2558,3839,2126
2024-03-24,Madhya Pradesh,Ujjain,Bhopal,Soybean,1994,2067,3214
2024-03-25,Madhya Pradesh,Indore,Indore,Wheat,2633,3642,3120
2024-03-26,Madhya Pradesh,Ujjain,Jabalpur,Maize,2844,3357,2429
2024-03-27,Madhya Pradesh,Indore,Ujjain,Soybean,1827,3020,1883
2024-03-28,Madhya Pradesh,Gwalior,Indore,Wheat,2466,3100,1945
2024-03-29,Madhya Pradesh,Ujjain,Jabalpur,Gram,2189,3562,2994
2024-03-30,Madhya Pradesh,Jabalpur,Ujjain,Soybean,1883,2855,3157
2024-03-31,Madhya Pradesh,Indore,Ujjain,Maize,2887,3178,2223
2024-04-01,Madhya Pradesh,Ujjain,Ujjain,Soybean,2755,3095,3132
2024-04-02,Madhya Pradesh,Jabalpur,Bhopal,Soybean,2937,3524,3349
2024-04-03,Madhya Pradesh,Bhopal,Bhopal,Wheat,2817,3470,2460
2024-04-04,Madhya Pradesh,Sagar,Bhopal,Paddy(Dhan),2046,3715,2562
2024-04-05,Madhya Pradesh,Gwalior,Ujjain,Paddy(Dhan),2697,3582,2368
2024-04-06,Madhya Pradesh,Gwalior,Sagar,Soybean,1891,3777,2146
2024-04-07,Madhya Pradesh,Bhopal,Ujjain,Maize,2625,3382,3125
2024-04-08,Madhya Pradesh,Ujjain,Bhopal,Maize,2816,3300,2146
2024-04-09,Madhya Pradesh,Sagar,Ujjain,Wheat,2608,2882,2207
2024-04-10,Madhya Pradesh,Bhopal,Bhopal,Soybean,2408,3336,1932
2024-04-11,Madhya Pradesh,Jabalpur,Bhopal,Soybean,2724,3128,2413
2024-04-12,Madhya Pradesh,Sagar,Bhopal,Paddy(Dhan),2184,2970,2787
2024-04-13,Madhya Pradesh,Indore,Sagar,Wheat,2040,3118,1905
2024-04-14,Madhya Pradesh,Ujjain,Jabalpur,Gram,1796,3242,1970
2024-04-15,Madhya Pradesh,Sagar,Ujjain,Maize,1555,3705,2439
2024-04-16,Madhya Pradesh,Indore,Indore,Maize,2995,3901,3073
2024-04-17,Madhya Pradesh,Bhopal,Bhopal,Soybean,2539,3967,3367
2024-04-18,Madhya Pradesh,Gwalior,Sagar,Wheat,1565,3818,2061
2024-04-19,Madhya Pradesh,Sagar,Indore,Gram,2457,3151,2293
2024-04-20,Madhya Pradesh,Sagar,Jabalpur,Maize,2995,2199,3067
2024-04-21,Madhya Pradesh,Indore,Ujjain,Wheat,2546,3952,3274
2024-04-22,Madhya Pradesh,Indore,Sagar,Gram,2201,2331,2702
2024-04-23,Madhya Pradesh,Gwalior,Bhopal,Soybean,2259,2546,2089
2024-04-24,Madhya Pradesh,Indore,Bhopal,Paddy(Dhan),1985,3889,3086
2024-04-25,Madhya Pradesh,Indore,Bhopal,Maize,2938,3679,3137
2024-04-26,Madhya Pradesh,Sagar,Sagar,Maize,2320,3315,1884
2024-04-27,Madhya Pradesh,Gwalior,Indore,Gram,2387,2065,3238
2024-04-28,Madhya Pradesh,Gwalior,Jabalpur,Paddy(Dhan),2828,3995,3152
2024-04-29,Madhya Pradesh,Sagar,Ujjain,Wheat,1676,2730,1844
2024-04-30,Madhya Pradesh,Bhopal,Jabalpur,Soybean,1694,2567,2614
2024-05-01,Madhya Pradesh,Bhopal,Bhopal,Wheat,2536,2656,2132
2024-05-02,Madhya Pradesh,Sagar,Jabalpur,Gram,2375,2403,2264
2024-05-03,Madhya Pradesh,Indore,Indore,Maize,1665,3748,1999
2024-05-04,Madhya Pradesh,Ujjain,Gwalior,Maize,2673,3629,3024
2024-05-05,Madhya Pradesh,Bhopal,Gwalior,Wheat,2864,2617,2128
2024-05-06,Madhya Pradesh,Bhopal,Ujjain,Soybean,2056,2595,2039
2024-05-07,Madhya Pradesh,Sagar,Ujjain,Gram,2697,2647,2597
2024-05-08,Madhya Pradesh,Sagar,Jabalpur,Soybean,1666,2145,2501
2024-05-09,Madhya Pradesh,Ujjain,Ujjain,Gram,2208,2760,2382
2024-05-10,Madhya Pradesh,Ujjain,Sagar,Soybean,2217,3553,2456
2024-05-11,Madhya Pradesh,Gwalior,Indore,Wheat,1596,3425,3182
2024-05-12,Madhya Pradesh,Sagar,Bhopal,Paddy(Dhan),2178,2124,2520
2024-05-13,Madhya Pradesh,Bhopal,Bhopal,Gram,1903,3537,2159
2024-05-14,Madhya Pradesh,Jabalpur,Jabalpur,Wheat,2600,3355,3201
2024-05-15,Madhya Pradesh,Jabalpur,Bhopal,Maize,2760,2479,2184
2024-05-16,Madhya Pradesh,Indore,Jabalpur,Maize,1790,3001,3288
2024-05-17,Madhya Pradesh,Bhopal,Ujjain,Soybean,1635,2711,3045
2024-05-18,Madhya Pradesh,Jabalpur,Ujjain,Maize,2388,3970,2598
2024-05-19,Madhya Pradesh,Bhopal,Sagar,Paddy(Dhan),2380,3673,3498
2024-05-20,Madhya Pradesh,Sagar,Sagar,Gram,1866,2714,2164
2024-05-21,Madhya Pradesh,Bhopal,Indore,Soybean,2047,3421,1871
2024-05-22,Madhya Pradesh,Jabalpur,Bhopal,Gram,2401,3817,3063
2024-05-23,Madhya Pradesh,Bhopal,Sagar,Gram,1747,2814,2303
2024-05-24,Madhya Pradesh,Ujjain,Indore,Wheat,2265,3053,3237
